x h forward central exact ferr cerr rferr rcerr
1.234 0.1 3.61256 3.44067 3.43494 0.0517092 0.0016675 0.000865326 2.08395e-07
1.234 0.01 3.45217 3.435 3.43494 0.00501671 1.66668e-05 8.36466e-06 2.08573e-11
1.234 0.001 3.43666 3.43494 3.43494 0.000500167 1.66667e-07 8.33648e-08 1.69309e-13
1.234 0.0001 3.43511 3.43494 3.43494 5.00017e-05 1.66704e-09 8.26241e-10 2.69651e-12
1.234 1e-05 3.43496 3.43494 3.43494 5.00003e-06 2.31666e-11 2.9631e-11 1.45475e-11
1.234 1e-06 3.43494 3.43494 3.43494 4.99926e-07 8.67263e-11 6.24345e-10 3.44226e-10
1.234 1e-07 3.43494 3.43494 3.43494 5.14337e-08 1.0122e-09 5.45209e-09 2.43542e-09
1.234 1e-08 3.43494 3.43494 3.43494 7.47649e-09 5.45209e-09 1.83807e-08 5.45209e-09
1.234 1e-09 3.43494 3.43494 3.43494 7.21194e-08 7.21194e-08 7.21194e-08 7.21194e-08
1.234 1e-10 3.43494 3.43494 3.43494 1.86452e-07 1.86452e-07 1.86452e-07 1.86452e-07
