t	x	v
0	1	-0.191494
0.01	0.998085	-0.382988
0.02	0.994255	-0.574115
0.03	0.988514	-0.764508
0.04	0.980869	-0.953803
0.05	0.971331	-1.14163
0.06	0.959915	-1.32764
0.07	0.946638	-1.51145
0.08	0.931524	-1.69273
0.09	0.914596	-1.87111
0.1	0.895885	-2.04625
0.11	0.875423	-2.21781
0.12	0.853245	-2.38544
0.13	0.82939	-2.54884
0.14	0.803902	-2.70766
0.15	0.776825	-2.8616
0.16	0.748209	-3.01036
0.17	0.718106	-3.15364
0.18	0.686569	-3.29115
0.19	0.653658	-3.42262
0.2	0.619432	-3.54779
0.21	0.583954	-3.66641
0.22	0.54729	-3.77823
0.23	0.509507	-3.88304
0.24	0.470677	-3.9806
0.25	0.430871	-4.07074
0.26	0.390164	-4.15325
0.27	0.348631	-4.22796
0.28	0.306352	-4.29472
0.29	0.263404	-4.35338
0.3	0.21987	-4.40382
0.31	0.175832	-4.44593
0.32	0.131373	-4.4796
0.33	0.086577	-4.50476
0.34	0.0415294	-4.52133
0.35	-0.00368395	-4.52929
0.36	-0.0489768	-4.52858
0.37	-0.0942626	-4.5192
0.38	-0.139455	-4.50115
0.39	-0.184466	-4.47445
0.4	-0.229211	-4.43912
0.41	-0.273602	-4.39523
0.42	-0.317554	-4.34284
0.43	-0.360983	-4.28203
0.44	-0.403803	-4.2129
0.45	-0.445932	-4.13558
0.46	-0.487288	-4.05018
0.47	-0.52779	-3.95687
0.48	-0.567358	-3.8558
0.49	-0.605916	-3.74716
0.5	-0.643388	-3.63113
0.51	-0.679699	-3.50792
0.52	-0.714778	-3.37777
0.53	-0.748556	-3.24089
0.54	-0.780965	-3.09755
0.55	-0.81194	-2.948
0.56	-0.84142	-2.79251
0.57	-0.869345	-2.63139
0.58	-0.895659	-2.46491
0.59	-0.920308	-2.2934
0.6	-0.943242	-2.11717
0.61	-0.964414	-1.93654
0.62	-0.98378	-1.75186
0.63	-1.0013	-1.56347
0.64	-1.01693	-1.37173
0.65	-1.03065	-1.177
0.66	-1.04242	-0.979633
0.67	-1.05222	-0.780016
0.68	-1.06002	-0.578523
0.69	-1.0658	-0.375537
0.7	-1.06956	-0.171442
0.71	-1.07127	0.0333713
0.72	-1.07094	0.238513
0.73	-1.06855	0.443591
0.74	-1.06412	0.648212
0.75	-1.05763	0.851984
0.76	-1.04912	1.05451
0.77	-1.03857	1.25541
0.78	-1.02602	1.45429
0.79	-1.01147	1.65077
0.8	-0.994965	1.84446
0.81	-0.976521	2.03499
0.82	-0.956171	2.22199
0.83	-0.933951	2.40509
0.84	-0.9099	2.58393
0.85	-0.884061	2.75817
0.86	-0.856479	2.92747
0.87	-0.827204	3.09148
0.88	-0.796289	3.24988
0.89	-0.763791	3.40236
0.9	-0.729767	3.54863
0.91	-0.694281	3.68837
0.92	-0.657397	3.82132
0.93	-0.619184	3.94721
0.94	-0.579712	4.06578
0.95	-0.539054	4.17679
0.96	-0.497286	4.28002
0.97	-0.454486	4.37524
0.98	-0.410733	4.46227
0.99	-0.366111	4.54093
1	-0.320701	4.61104
1.01	-0.274591	4.67245
1.02	-0.227867	4.72503
1.03	-0.180616	4.76866
1.04	-0.13293	4.80325
1.05	-0.0848971	4.82871
1.06	-0.03661	4.84496
1.07	0.0118396	4.85197
1.08	0.0603594	4.84971
1.09	0.108856	4.83815
1.1	0.157238	4.8173
1.11	0.205411	4.78719
1.12	0.253283	4.74786
1.13	0.300762	4.69936
1.14	0.347755	4.64176
1.15	0.394173	4.57517
1.16	0.439924	4.49969
1.17	0.484921	4.41545
1.18	0.529076	4.32259
1.19	0.572302	4.22127
1.2	0.614514	4.11168
1.21	0.655631	3.994
1.22	0.695571	3.86845
1.23	0.734256	3.73526
1.24	0.771608	3.59465
1.25	0.807555	3.44689
1.26	0.842024	3.29225
1.27	0.874946	3.13101
1.28	0.906256	2.96346
1.29	0.935891	2.78992
1.3	0.96379	2.6107
1.31	0.989897	2.42614
1.32	1.01416	2.23658
1.33	1.03652	2.04238
1.34	1.05695	1.84389
1.35	1.07539	1.64149
1.36	1.0918	1.43556
1.37	1.10616	1.22649
1.38	1.11842	1.01467
1.39	1.12857	0.800495
1.4	1.13657	0.584381
1.41	1.14242	0.366735
1.42	1.14609	0.147969
1.43	1.14757	-0.0714995
1.44	1.14685	-0.291251
1.45	1.14394	-0.510866
1.46	1.13883	-0.729923
1.47	1.13153	-0.948001
1.48	1.12205	-1.16468
1.49	1.1104	-1.37955
1.5	1.09661	-1.59218
1.51	1.08069	-1.80218
1.52	1.06266	-2.00912
1.53	1.04257	-2.21261
1.54	1.02045	-2.41226
1.55	0.996324	-2.60767
1.56	0.970247	-2.79846
1.57	0.942262	-2.98426
1.58	0.91242	-3.16469
1.59	0.880773	-3.33942
1.6	0.847379	-3.50808
1.61	0.812298	-3.67035
1.62	0.775595	-3.8259
1.63	0.737336	-3.97442
1.64	0.697591	-4.11561
1.65	0.656435	-4.2492
1.66	0.613943	-4.3749
1.67	0.570194	-4.49247
1.68	0.52527	-4.60166
1.69	0.479253	-4.70224
1.7	0.432231	-4.79402
1.71	0.384291	-4.87678
1.72	0.335523	-4.95037
1.73	0.286019	-5.01462
1.74	0.235873	-5.0694
1.75	0.185179	-5.11456
1.76	0.134033	-5.15002
1.77	0.0825329	-5.17569
1.78	0.030776	-5.1915
1.79	-0.0211389	-5.19739
1.8	-0.0731128	-5.19334
1.81	-0.125046	-5.17934
1.82	-0.17684	-5.15539
1.83	-0.228394	-5.12153
1.84	-0.279609	-5.07779
1.85	-0.330387	-5.02425
1.86	-0.380629	-4.96098
1.87	-0.430239	-4.8881
1.88	-0.47912	-4.80571
1.89	-0.527177	-4.71396
1.9	-0.574317	-4.61301
1.91	-0.620447	-4.50303
1.92	-0.665477	-4.38422
1.93	-0.709319	-4.25678
1.94	-0.751887	-4.12095
1.95	-0.793097	-3.97697
1.96	-0.832866	-3.8251
1.97	-0.871117	-3.66561
1.98	-0.907774	-3.4988
1.99	-0.942762	-3.32496
2	-0.976011	-3.14443
2.01	-1.00746	-2.95753
2.02	-1.03703	-2.76461
2.03	-1.06468	-2.56602
2.04	-1.09034	-2.36215
2.05	-1.11396	-2.15335
2.06	-1.13549	-1.94004
