t	x	v
0	0.999043	-0.191494
0.01	0.996171	-0.382621
0.02	0.991391	-0.573015
0.03	0.984712	-0.762312
0.04	0.976146	-0.950148
0.05	0.96571	-1.13616
0.06	0.953423	-1.32
0.07	0.93931	-1.50131
0.08	0.923398	-1.67975
0.09	0.905716	-1.85497
0.1	0.886299	-2.02663
0.11	0.865185	-2.19441
0.12	0.842412	-2.35799
0.13	0.818026	-2.51704
0.14	0.792072	-2.67128
0.15	0.764601	-2.8204
0.16	0.735665	-2.96412
0.17	0.705319	-3.10215
0.18	0.673622	-3.23425
0.19	0.640635	-3.36014
0.2	0.60642	-3.47961
0.21	0.571043	-3.5924
0.22	0.534573	-3.69831
0.23	0.497078	-3.79714
0.24	0.45863	-3.88869
0.25	0.419304	-3.97279
0.26	0.379175	-4.04928
0.27	0.338319	-4.11801
0.28	0.296815	-4.17886
0.29	0.254742	-4.23169
0.3	0.212181	-4.27642
0.31	0.169214	-4.31296
0.32	0.125922	-4.34123
0.33	0.0823895	-4.36119
0.34	0.0386987	-4.37279
0.35	-0.00506623	-4.37602
0.36	-0.0488215	-4.37086
0.37	-0.0924834	-4.35732
0.38	-0.135968	-4.33544
0.39	-0.179192	-4.30525
0.4	-0.222073	-4.26682
0.41	-0.264529	-4.2202
0.42	-0.306477	-4.16551
0.43	-0.347839	-4.10283
0.44	-0.388534	-4.03229
0.45	-0.428485	-3.95403
0.46	-0.467615	-3.86819
0.47	-0.50585	-3.77494
0.48	-0.543115	-3.67446
0.49	-0.579339	-3.56694
0.5	-0.614454	-3.45259
0.51	-0.648392	-3.33162
0.52	-0.681087	-3.20426
0.53	-0.712477	-3.07077
0.54	-0.742503	-2.9314
0.55	-0.771106	-2.78641
0.56	-0.798232	-2.63608
0.57	-0.823828	-2.48069
0.58	-0.847846	-2.32056
0.59	-0.87024	-2.15598
0.6	-0.890967	-1.98727
0.61	-0.909986	-1.81476
0.62	-0.927263	-1.63876
0.63	-0.942763	-1.45963
0.64	-0.956456	-1.2777
0.65	-0.968317	-1.09332
0.66	-0.978323	-0.906844
